App,Package,Start Time,Duration,Filename
"System",,"Jul 2, 2018 @ 01:57:33 PM","1 min 0 sec","longPolling.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"GPS State",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
18,81,19,0,19,0,12,87,17,364848,20318,20,330000,21,0,32,1190400,4,0,11,0,13,1190400,33,70,10,0,11,0,16,50,
39,81,39,0,39,0,36,87,38,869986,525456,40,330000,40,0,132,1497600,34,0,35,0,36,1267200,134,40,34,0,35,0,38,100,
140,81,140,0,140,0,137,87,140,749945,405415,141,330000,141,0,233,2265600,135,0,136,0,138,1497600,234,44,136,0,137,0,139,50,
237,81,238,0,238,0,235,87,237,1141415,796885,238,330000,239,0,333,2457600,234,0,235,0,236,1728000,334,30,235,0,235,0,237,30,
337,81,337,0,337,0,336,87,337,1080657,736127,338,330000,338,0,434,652800,335,0,335,0,336,1728000,436,46,335,0,335,0,337,38,
441,81,441,0,442,0,439,87,441,564917,220387,442,330000,443,0,536,300000,437,0,438,0,439,1728000,541,18,437,0,438,0,441,40,
555,81,556,0,557,0,548,87,555,188105,0,558,330000,560,0,636,883200,542,0,545,0,549,652800,638,28,544,0,547,0,554,12,
644,81,644,0,645,0,641,87,644,228483,0,646,330000,648,0,738,300000,639,0,640,0,641,300000,747,30,639,0,640,0,643,20,
771,81,772,0,772,0,765,87,770,178257,0,773,330000,773,0,838,1497600,754,0,759,0,766,300000,839,54,756,0,761,0,770,9,
843,81,843,0,844,0,841,87,843,680223,335693,844,330000,845,0,939,652800,840,0,840,0,842,1497600,943,55,840,0,841,0,843,25,
898,81,897,0,953,0,947,87,952,252176,0,954,330000,956,0,1040,422400,943,0,945,0,948,652800,1043,60,945,0,946,0,952,40,
952,81,952,0,1054,0,1048,87,1053,204877,0,1055,330000,1057,0,1141,652800,1044,0,1046,0,1049,652800,1145,0,1045,0,1047,0,1052,22,
1053,81,1054,0,1157,0,1151,87,1156,196328,0,1158,330000,1159,0,1241,729600,1146,0,1148,0,1152,652800,1243,22,1147,0,1149,0,1156,22,
1156,81,1156,0,1247,0,1244,87,1246,458998,114468,1247,330000,1248,0,1343,300000,1243,0,1244,0,1245,1190400,1350,10,1243,0,1244,0,1246,69,
1246,81,1247,0,1371,0,1361,87,1369,178384,0,1373,330000,1376,0,1443,1190400,1352,0,1357,0,1363,300000,1445,50,1355,0,1359,0,1368,25,
1370,81,1371,0,1449,0,1447,87,1449,502562,158032,1449,330000,1450,0,1546,300000,1445,0,1446,0,1447,1190400,1553,18,1446,0,1446,0,1448,37,
1449,81,1449,0,1575,0,1563,87,1572,177970,0,1576,330000,1577,0,1645,1267200,1555,0,1559,0,1565,300000,1647,42,1557,0,1560,0,1571,30,
1574,81,1575,0,1651,0,1649,87,1650,467967,123437,1651,330000,1652,0,1748,300000,1647,0,1648,0,1649,1267200,1755,27,1648,0,1648,0,1650,25,
1651,81,1651,0,1779,0,1764,87,1775,245479,0,1781,330000,1784,0,1847,1190400,1756,0,1760,0,1767,1190400,1849,53,1758,0,1762,0,1774,18,
1776,81,1778,0,1853,0,1851,87,1853,375511,30981,1854,330000,1855,0,1951,300000,1850,0,1850,0,1852,300000,1959,30,1850,0,1851,0,1853,25,
1853,81,1853,0,1981,0,1971,87,1980,177748,0,1983,330000,1985,0,2049,422400,1962,0,1969,0,1973,300000,2054,44,1965,0,1970,0,1980,25,
1980,81,1981,0,2070,0,2062,87,2068,194599,0,2072,330000,2074,0,2150,1190400,2055,0,2059,0,2063,422400,2152,37,2056,0,2060,0,2067,62,
2069,81,2069,0,2158,0,2155,87,2157,398587,54057,2159,330000,2159,0,2251,1190400,2152,0,2154,0,2156,1190400,2258,30,2153,0,2155,0,2157,22,
2158,81,2158,0,2270,0,2263,87,2269,290326,0,2271,330000,2272,0,2351,1497600,2259,0,2262,0,2264,300000,2353,30,2261,0,2262,0,2268,18,
