App,Package,Start Time,Duration,Filename
"System",,"Jul 2, 2018 @ 04:01:38 PM","59 sec","longPolling.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"GPS State",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
2,82,2,0,3,1,58,87,2,264205,0,3,330000,4,0,51,1497600,55,0,56,0,59,652800,54,90,56,0,57,0,1,23,
62,82,62,0,63,1,154,87,62,797377,466152,64,330000,65,0,151,2457600,153,0,154,0,155,1728000,152,75,153,0,154,0,61,62,
156,82,156,0,157,1,255,87,156,1837009,1505784,157,330000,158,0,251,2457600,254,0,254,0,256,1728000,253,42,254,0,254,0,156,27,
257,82,258,0,258,1,355,87,257,1211721,880496,258,330000,259,0,352,2457600,354,0,355,0,356,1728000,354,20,355,0,355,0,257,27,
357,82,357,0,357,1,457,87,357,654772,323547,357,330000,358,0,452,1190400,455,0,456,0,457,1190400,455,25,456,0,456,0,357,11,
459,82,459,0,459,1,580,87,459,346600,15375,460,330000,460,0,556,300000,568,0,575,0,581,422400,564,18,573,0,578,0,459,20,
587,82,588,0,588,1,658,87,586,182771,0,590,330000,593,0,654,1497600,657,0,657,0,658,1497600,656,75,657,0,658,0,586,27,
660,82,660,0,660,1,760,87,659,864034,532809,660,330000,661,0,755,1497600,758,0,759,0,760,1497600,758,10,759,0,760,0,659,33,
762,82,762,0,763,1,861,87,762,369647,38422,763,330000,764,0,855,1574400,860,0,861,0,862,1728000,858,75,860,0,861,0,762,20,
870,82,870,0,871,1,959,87,870,1368777,1037552,871,330000,873,0,956,1728000,958,0,958,2457600,960,1728000,957,50,958,0,1061,36,867,75,
